"ConsDisp";"InduDisp"
"173";13.4069198550599;56.0236430214751
"174";12.8532097158647;56.4921469067267
"175";14.0194953546838;57.1857617026072
"176";17.1930436514306;56.3244955647074
"177";15.8627235996849;56.5997544597734
"178";19.9293125822242;56.6318806116568
"179";17.184316977989;56.6009982556806
"180";18.4733862624046;57.2454798315602
"181";23.9004393265061;55.9140548854516
"182";21.3800491112626;55.303301040466
"183";22.997858595965;55.0218620507342
"184";19.8909024430768;55.761030953493
"185";24.7680641149041;56.1996201042279
"186";21.4393330120132;56.1766157781877
"187";24.8299214658444;55.448012908671
"188";25.5639590048177;55.9381463798615
"189";11.8888603322606;55.1463592716632
"190";16.1578773358384;54.9753762230863
"191";14.9882287145613;55.0766716057989
"192";16.5556787840306;55.7472210346356
"193";23.1683404671116;55.2532738843616
"194";19.4758375943116;55.1319241756527
"195";20.7318595403307;55.2508807099054
"196";20.5932998812721;55.3847104738885
"197";17.4281023063327;56.6050900871427
"198";12.5189855819072;56.8097618131287
"199";13.9454293587541;56.5419589775972
"200";6.98432172798476;56.4929760304679
"201";6.17004862217471;56.2835840549702
"202";10.0021872607945;57.4119744754566
"203";3.35551784379103;57.2772190644877
"204";3.73235850368102;57.438561157106
"205";5.79689572098723;56.9322502379811
"206";6.32000791138745;56.5609805341356
"207";3.97397785600272;56.605302623512
"208";4.11703777004778;55.8076114447803
"209";3.26075144713607;56.2978053482729
"210";3.2893768406797;56.0982820016402
"211";3.38496676497717;56.0534824336417
"212";3.69228926277452;55.2534833838629
"213";6.47500965250246;55.5431465119167
"214";11.8323708528764;55.7060318537433
"215";21.9476650238698;55.5997923100628
"216";25.3633840407782;56.3939926233596
"217";21.6462005904038;54.7208742889817
"218";25.5114092123505;54.6641788249868
"219";29.9920406108021;55.4945428581888
"220";23.580564030574;55.5003002432206
"221";15.628435622288;55.4387325259293
"222";18.6506300161684;55.8313180954439
"223";18.6776872229942;55.736624556865
"224";19.3112661418147;55.4758473696051
"225";21.2207681293586;55.4211556862437
"226";23.169888864645;55.4403194258654
"227";24.7783726261431;56.3762499543474
"228";29.425974920128;55.7294368892938
"229";26.1741857561988;54.2476357971342
"230";19.329019633701;54.2902329470813
"231";19.0081166873523;54.8906739729176
"232";11.3556153510059;55.3919929505053
"233";15.5733747145569;55.3587046661463
"234";13.6600878474481;55.8480989289282
"235";18.3419600915497;55.9222481013695
"236";18.0300097060429;55.9494513072257
"237";16.2119477546654;55.5541826051337
"238";20.6176623311179;55.558460523316
"239";25.7619486840573;55.306909137583
"240";22.1290307062917;54.8755795243754
"241";15.2919913680331;53.9398516129873
"242";12.4644494463253;54.3394902872128
"243";17.2334848478188;55.2393557482145
"244";12.1080138751159;55.1514215266913
"245";14.8822377349645;55.3722650262871
"246";18.8798172660648;55.6895893596178
"247";17.4581785991552;55.5343226498786
"248";20.6474877406429;54.651132153421
"249";25.3741994947624;54.6337972849363
"250";27.2713173499191;54.5154488031731
"251";31.5745783819832;54.6916021676113
"252";23.9073733396206;55.1999278858234
"253";17.0596087293935;54.0397166102642
"254";13.0180931783422;54.631492404409
"255";15.0818599648717;53.9502138486526
"256";11.1736296698969;54.7249911587972
"257";11.9081484706901;54.4441460349771
"258";15.487995351239;54.382329420084
"259";13.5368663286597;54.3132161716391
"260";15.6234039184808;54.6271762202469
"261";13.762267255071;54.9730375300983
"262";16.4720900313227;53.7623609488631
"263";18.2325258809634;54.2569628584189
